FID,OBJECTID,Location,State,Water_Cont,Material,Damae_Int2,Economic,District,ID,Fail_Type,Date,Distri_,Death_,Settlemet_,Dam_Int1,Area,Triggers_,aug_trigger_class,aug_trigger_confidence,aug_severity_class,aug_exposure_context,aug_uncertainty_label,aug_missing_fields_count,aug_missing_fields,aug_failure_process_narrative,aug_planning_summary
10,11, , , , , , ,Cox's Bazar,11,Complex,2015, ,0,0, ,27623, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Complex process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed complex record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
11,12, , , , , , ,Cox's Bazar,12,Slide,2015, ,0,0, ,1587, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
12,13, , , , , , ,Cox's Bazar,13,Slide,2015, ,0,0, ,1562, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
13,14, , , , , , ,Cox's Bazar,14,Slide,2015, ,0,0, ,2143, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
14,15, , , , , , ,Cox's Bazar,15,Unrecognized,2015, ,0,0, ,1019, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Unrecognized process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
15,16, , , , , , ,Cox's Bazar,16,Flow,2015, ,0,0, ,2666, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Flow process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
16,17, , , , , , ,Cox's Bazar,17,Unrecognized,2015, ,0,0, ,6540, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Unrecognized process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
17,18, , , , , , ,Cox's Bazar,18,Slide,2015, ,0,0, ,2008, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
18,19, , , , , , ,Cox's Bazar,19,Unrecognized,2015, ,0,0, ,1888, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Unrecognized process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
19,20, , , , , , ,Cox's Bazar,20,Unrecognized,2015, ,0,0, ,1391, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Unrecognized process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
20,21, , , , , , ,Cox's Bazar,21,Unrecognized,2015, ,0,0, ,1896, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Unrecognized process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
21,22, , , , , , ,Cox's Bazar,22,Unrecognized,2015, ,0,0, ,3619, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Unrecognized process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
22,23, , , , , , ,Cox's Bazar,23,Slide,2015, ,0,0, ,2588, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
23,24, , , , , , ,Cox's Bazar,24,Slide,2015, ,0,0, ,1971, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
24,25, , , , , , ,Cox's Bazar,25,Unrecognized,2015, ,0,0, ,2648, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Unrecognized process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
25,26, , , , , , ,Cox's Bazar,26,Unrecognized,2015, ,0,0, ,4915, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Unrecognized process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
26,27, , , , , , ,Cox's Bazar,27,Unrecognized,2015, ,0,0, ,2659, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Unrecognized process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
27,28, , , , , , ,Cox's Bazar,28,Unrecognized,2015, ,0,0, ,1464, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Unrecognized process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
28,29, , , , , , ,Cox's Bazar,29,Slide,2015, ,0,0, ,2255, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
29,30, , , , , , ,Cox's Bazar,30,Slide,2015, ,0,0, ,1604, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
30,31, , , , , , ,Cox's Bazar,31,Slide,2015, ,0,0, ,631, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
31,32, , , , , , ,Cox's Bazar,32,Flow,2015, ,0,0, ,2285, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Flow process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
32,33, , , , , , ,Cox's Bazar,33,Slide,2015, ,0,0, ,12488, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
33,34, , , , , , ,Cox's Bazar,34,Flow,2015, ,0,0, ,2233, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Flow process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
34,35, , , , , , ,Cox's Bazar,35,Flow,2015, ,0,0, ,2231, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Flow process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
35,36, , , , , , ,Cox's Bazar,36,Flow,2015, ,0,0, ,2236, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Flow process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
36,37, , , , , , ,Cox's Bazar,37,Slide,2015, ,0,0, ,752, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
37,38, , , , , , ,Cox's Bazar,38,Unrecognized,2015, ,0,0, ,2379, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Unrecognized process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
38,39, , , , , , ,Cox's Bazar,39,Unrecognized,2015, ,0,0, ,1219, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Unrecognized process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
39,40, , , , , , ,Cox's Bazar,40,Unrecognized,2015, ,0,0, ,334, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Unrecognized process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
40,41, , , , , , ,Cox's Bazar,41,Unrecognized,2015, ,0,0, ,684, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Unrecognized process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
41,42, , , , , , ,Cox's Bazar,42,Unrecognized,2015, ,0,0, ,3643, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Unrecognized process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
42,43, , , , , , ,Cox's Bazar,43,Slide,2015, ,0,0, ,5480, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
43,44, , , , , , ,Cox's Bazar,44,Flow,2015, ,0,0, ,3082, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Flow process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
44,45, , , , , , ,Cox's Bazar,45,Flow,2015, ,0,0, ,1533, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Flow process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
45,46, , , , , , ,Cox's Bazar,46,Slide,2015, ,0,0, ,611, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
46,47,Adorsha Gram,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,47,Fall,13/06/2010, ,0,1,Medium,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,2,"Water_Cont, Distri_",Fall process involving weatherd rock and soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed fall record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
47,48,Adorsha Gram,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,48,Fall,13/06/2010, ,0,3,High,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Settlement or institutional exposure,Low uncertainty,2,"Water_Cont, Distri_",Fall process involving weatherd rock and soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed fall record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
48,49,Adorsha Gram,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,49,Flow,13/06/2010,Advancing,0,1,Medium,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Flow process involving weatherd rock and soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
49,50,Adorsha Gram,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,50,Flow,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Anthropogenic slope modification,Low uncertainty,1,Water_Cont,Flow process involving weatherd rock and soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
50,51,Adorsha Gram,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,51,Flow,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Anthropogenic slope modification,Low uncertainty,1,Water_Cont,Flow process involving weatherd rock and soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
51,52,South Ganar Ghona,Suspended, ,Soil,Nil,Low,Cox's Bazar,52,Flow,14/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Anthropogenic slope modification,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
52,53,Mohajer Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,53,Flow,14/06/2010,Advancing,1,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
53,54,Mohajer Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,54,Flow,14/06/2010,Advancing,1,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
54,55,Mohajer Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,55,Slide,06/06/2008,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Slide process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
55,56,South Ganar Ghona,Suspended, ,Soil,Nil,Low,Cox's Bazar,56,Slide,14/06/2010,Advancing,0,1,Low,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Slide process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
56,57,Kolatali by Pass,Suspended, ,Soil,Nil,Low,Cox's Bazar,57,Slide,14/06/2010,Advancing,0,1,Low,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Slide process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
57,58,Mohajer Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,58,Flow,06/06/2008,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
58,59,Mohajer Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,59,Slide,06/06/2008,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Slide process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
59,60,Kolatali by pass,Suspended, ,Soil,Nil,Low,Cox's Bazar,60,Slide,14/06/2010,Advancing,0,1,Low,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Slide process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
60,61,Mohajer Para,Suspended, ,Soil,Nil,Low,Cox's Bazar,61,Flow,06/06/2008,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
61,62,Kolatali by pass,Suspended, ,Soil,Nil,Low,Cox's Bazar,62,Flow,14/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Anthropogenic slope modification,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
62,63,Kolatali by pass,Suspended, ,Soil,Nil,Low,Cox's Bazar,63,Slide,14/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Anthropogenic slope modification,Low uncertainty,1,Water_Cont,Slide process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
63,64,West Lar Para,Suspended, ,Weatherd Rock and Soil,Nil,Low,Cox's Bazar,64,Slide,15/06/2010,Advancing,0,1,Low,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Slide process involving weatherd rock and soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
